"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1988","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","","..","","","0"
"1989","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","","..","","","0"
"1990","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","","..","","","0"
"1991","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","","..","","","0"
"1992","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","","..","","","0"
"1993","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","","..","","","0"
"1994","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","","..","","","0"
"1995","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","","..","","","0"
"1996","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","","..","","","0"
"1997","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","","..","","","0"
"1998","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","","..","","","0"
"1999","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","","..","","","0"
"2000","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","","..","","","0"
"2001","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","","..","","","0"
"2002","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","","..","","","0"
"2003","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","","..","","","0"
"2004","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","","..","","","0"
"2005","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","","..","","","0"
"2006","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","","..","","","0"
"2007","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","740","","","","0"
"2008","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","767","","","","0"
"2009","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","782","","","","0"
"2010","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","788","","","","0"
"2011","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","815","","","","0"
"2012","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","844","","","","0"
"2013","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","864","","","","0"
"2014","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","886","","","","0"
"2015","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","922","","","","0"
"2016","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","1005","","","","0"
"2017","Centre Wellington, Ontario","2011S0504531","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135739","194.4.3","1018","","","","0"
