"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Thetford Mines, Quebec","2011S0504430","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824968","63.4.3","549","","","","0"
"2019","Thetford Mines, Quebec","2011S0504430","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824968","63.4.3","562","","","","0"
"2020","Thetford Mines, Quebec","2011S0504430","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824968","63.4.3","587","","","","0"
"2021","Thetford Mines, Quebec","2011S0504430","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824968","63.4.3","620","","","","0"
"2022","Thetford Mines, Quebec","2011S0504430","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824968","63.4.3","649","","","","0"
"2023","Thetford Mines, Quebec","2011S0504430","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824968","63.4.3","687","","","","0"
"1987","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","358","","","","0"
"1988","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","359","","","","0"
"1989","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","367","","","","0"
"1990","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","379","","","","0"
"1991","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","395","","","","0"
"1992","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","408","","","","0"
"1993","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","411","","","","0"
"1994","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","412","","","","0"
"1995","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","416","","","","0"
"1996","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","414","","","","0"
"1997","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","414","","","","0"
"1998","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","421","","","","0"
"1999","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","411","","","","0"
"2000","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","419","","","","0"
"2001","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","429","","","","0"
"2002","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","437","","","","0"
"2003","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","438","","","","0"
"2004","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","455","","","","0"
"2005","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","474","","","","0"
"2006","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","479","","","","0"
"2007","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","478","","","","0"
"2008","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","493","","","","0"
"2009","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","502","","","","0"
"2010","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","513","","","","0"
"2011","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","530","","","","0"
"2012","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","528","","","","0"
"2013","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","531","","","","0"
"2014","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","544","","","","0"
"2015","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","563","","","","0"
"2016","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","560","","","","0"
"2017","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","572","","","","0"
"2018","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","582","","","","0"
"2019","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","600","","","","0"
"2020","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","614","","","","0"
"2021","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","659","","","","0"
"2022","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","722","","","","0"
"2023","Trois-Rivières, Quebec","2011S0503442","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824820","64.4.3","773","","","","0"
"1987","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","383","","","","0"
"1988","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","403","","","","0"
"1989","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","427","","","","0"
"1990","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","430","","","","0"
"1991","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","429","","","","0"
"1992","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","429","","","","0"
"1993","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","432","","","","0"
"1994","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","438","","","","0"
"1995","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","444","","","","0"
"1996","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","454","","","","0"
"1997","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","454","","","","0"
"1998","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","463","","","","0"
"1999","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","453","","","","0"
"2000","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","443","","","","0"
"2001","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","443","","","","0"
"2002","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","444","","","","0"
"2003","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","448","","","","0"
"2004","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","447","","","","0"
"2005","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","459","","","","0"
"2006","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","459","","","","0"
"2007","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","460","","","","0"
"2008","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","471","","","","0"
"2009","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","496","","","","0"
"2010","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","507","","","","0"
"2011","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","521","","","","0"
"2012","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","532","","","","0"
"2013","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","547","","","","0"
"2014","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","580","","","","0"
"2015","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","619","","","","0"
"2016","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","638","","","","0"
"2017","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","643","","","","0"
"2018","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","666","","","","0"
"2019","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","692","","","","0"
"2020","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","710","","","","0"
"2021","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","758","","","","0"
"2022","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","805","","","","0"
"2023","Val-d'Or, Quebec","2011S0504480","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824974","65.4.3","923","","","","0"
"1987","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","323","","","","0"
"1988","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","332","","","","0"
"1989","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","346","","","","0"
"1990","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","357","","","","0"
"1991","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","371","","","","0"
"1992","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","379","","","","0"
"1993","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","386","","","","0"
"1994","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","391","","","","0"
"1995","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","402","","","","0"
"1996","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","394","","","","0"
"1997","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","404","","","","0"
"1998","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","400","","","","0"
"1999","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","406","","","","0"
"2000","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","414","","","","0"
"2001","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","433","","","","0"
"2002","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","420","","","","0"
"2003","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","436","","","","0"
"2004","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","446","","","","0"
"2005","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","466","","","","0"
"2006","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","460","","","","0"
"2007","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","451","","","","0"
"2008","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","467","","","","0"
"2009","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","475","","","","0"
"2010","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","488","","","","0"
"2011","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","503","","","","0"
"2012","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","509","","","","0"
"2013","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","512","","","","0"
"2014","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","503","","","","0"
"2015","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","524","","","","0"
"2016","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","519","","","","0"
"2017","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","539","","","","0"
"2018","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","580","","","","0"
"2019","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","592","","","","0"
"2020","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","668","","","","0"
"2021","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","695","","","","0"
"2022","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","752","","","","0"
"2023","Victoriaville, Quebec","2011S0504440","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824976","66.4.3","816","","","","0"
"1987","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","503","","","","0"
"1988","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","562","","","","0"
"1989","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","593","","","","0"
"1990","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","630","","","","0"
"1991","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","660","","","","0"
"1992","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","659","","","","0"
"1993","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","678","","","","0"
"1994","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","694","","","","0"
"1995","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","720","","","","0"
"1996","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","721","","","","0"
"1997","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","745","","","","0"
"1998","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","784","","","","0"
"1999","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","798","","","","0"
"2000","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","842","","","","0"
"2001","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","893","","","","0"
"2002","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","887","","","","0"
"2003","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","948","","","","0"
"2004","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","929","","","","0"
"2005","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","921","","","","0"
"2006","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","915","","","","0"
"2007","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","944","","","","0"
"2008","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","965","","","","0"
"2009","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","972","","","","0"
"2010","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","980","","","","0"
"2011","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","1012","","","","0"
"2012","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","1049","","","","0"
"2013","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","1061","","","","0"
"2014","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","1133","","","","0"
"2015","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","1186","","","","0"
"2016","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","1165","","","","0"
"2017","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","1217","","","","0"
"2018","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","1349","","","","0"
"2019","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","1353","","","","0"
"2020","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","1412","","","","0"
"2021","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","1518","","","","0"
"2022","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","1553","","","","0"
"2023","Barrie, Ontario","2011S0503568","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824825","67.4.3","1619","","","","0"
"1987","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","481","","","","0"
"1988","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","498","","","","0"
"1989","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","519","","","","0"
"1990","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","551","","","","0"
"1991","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","602","","","","0"
"1992","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","617","","","","0"
"1993","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","626","","","","0"
"1994","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","623","","","","0"
"1995","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","629","","","","0"
"1996","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","629","","","","0"
"1997","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","630","","","","0"
"1998","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","637","","","","0"
"1999","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","639","","","","0"
"2000","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","650","","","","0"
"2001","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","661","","","","0"
"2002","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","677","","","","0"
"2003","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","698","","","","0"
"2004","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","714","","","","0"
"2005","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","730","","","","0"
"2006","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","756","","","","0"
"2007","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","780","","","","0"
"2008","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","802","","","","0"
"2009","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","819","","","","0"
"2010","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","818","","","","0"
"2011","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","847","","","","0"
"2012","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","873","","","","0"
"2013","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","901","","","","0"
"2014","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","903","","","","0"
"2015","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","929","","","","0"
"2016","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","967","","","","0"
"2017","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","1020","","","","0"
"2018","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","1045","","","","0"
"2019","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","1123","","","","0"
"2020","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","1178","","","","0"
"2021","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","1188","","","","0"
"2022","Belleville, Ontario","2011S0504522","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824826","68.4.3","1312","","","","0"
