"REF_DATE","GEO","DGUID","Family characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","101580","","","","0"
"2020","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","102380","","","","0"
"2021","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","110590","","","","0"
"2022","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","116110","","","","0"
"2023","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","121250","","","","0"
"2000","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","30100","","","","0"
"2001","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","29700","","","","0"
"2002","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","30100","","","","0"
"2003","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","29800","","","","0"
"2004","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","30000","","","","0"
"2005","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","30100","","","","0"
"2006","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","30700","","","","0"
"2007","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","30390","","","","0"
"2008","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","30600","","","","0"
"2009","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","29020","","","","0"
"2010","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","29800","","","","0"
"2011","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","30380","","","","0"
"2012","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","31380","","","","0"
"2013","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","32140","","","","0"
"2014","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","32530","","","","0"
"2015","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","32460","","","","0"
"2016","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","31960","","","","0"
"2017","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","32430","","","","0"
"2018","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","33370","","","","0"
"2019","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","33980","","","","0"
"2020","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","34390","","","","0"
"2021","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","37880","","","","0"
"2022","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","38160","","","","0"
"2023","Canada","2021A11124","Median employment income of single-earner-male couple families","Dollars","81","units","0","v21187336","1.28","39300","","","","0"
"2000","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","16900","","","","0"
"2001","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","16600","","","","0"
"2002","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","17900","","","","0"
"2003","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","17600","","","","0"
"2004","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","18000","","","","0"
"2005","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","18600","","","","0"
"2006","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","19100","","","","0"
"2007","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","18810","","","","0"
"2008","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","19820","","","","0"
"2009","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","20340","","","","0"
"2010","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","21190","","","","0"
"2011","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","21350","","","","0"
"2012","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","22090","","","","0"
"2013","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","22640","","","","0"
"2014","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","23210","","","","0"
"2015","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","23510","","","","0"
"2016","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","24170","","","","0"
"2017","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","24370","","","","0"
"2018","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","25280","","","","0"
"2019","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","25460","","","","0"
"2020","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","24850","","","","0"
"2021","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","28080","","","","0"
"2022","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","29310","","","","0"
"2023","Canada","2021A11124","Median employment income of single-earner-female couple families","Dollars","81","units","0","v21187338","1.30","31250","","","","0"


